grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1304347826	3	1	1	1	0	1.4628099174	0.7066115702	0.8305785124	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0
9	0.1976284585	5	3	1	1	0	2.5308641975	0.8847736626	1.5843621399	0	0	0
10	0.0711462451	3	3	0	0	0	1.1902834008	0.6680161943	1.1417004049	0	0	0
11	0.1547619048	3	1	0	2	0	1.4686192469	0.4016736402	1.129707113	1.5	0.5070422535	0.9929577465
12	0.3596837945	7	5	1	1	0	3.3833333333	1.1666666667	2.45	3.4753843393	1.0056230185	2.5189926422
13	0.2766798419	5	5	0	0	0	3.5146443515	0.9539748954	1.5313807531	2.8090184166	0.7362255553	1.4547560281
14	0.1541501976	3	2	1	0	0	1.425	0.4125	1.1625	1.5258056016	0.3914320133	1.0827623852
15	0.2063492063	4	1	2	0	1	1.6694560669	0.5523012552	0.7782426778	1.8135549872	0.4457069784	0.7407380343
16	0.0714285714	2	1	0	1	0	1.1440329218	0.2469135802	0.6090534979	1.2307692308	0.2564102564	0.5128205128
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.619047619	0.1471861472	0.2337662338
18	0.0873015873	2	1	0	1	0	1.9419087137	0.2489626556	0.8091286307	1.4058577406	0.2343096234	0.359832636
19	0.1693548387	3	2	0	0	1	1.358974359	0.3247863248	0.3162393162	1.514893617	0.3404255319	0.1446808511
20	0.1346938776	3	3	0	0	0	2.1666666667	0.5384615385	0.2948717949	2.4351464435	0.5648535565	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0.0132450331	2	2	0	0	0	1.5466666667	0.3466666667	0.1066666667	1.6234309623	0.3765690377	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
